index,Title,Location,Address,Area Type,Price,Total Sqft,Size,Bath,Rating,Latitude,Longitude,Availability,Images,City
2106,Ireo Victory Valley,2 BHK Flat for rent in Sector 67 Gurgaon,Sector 67 Gurgaon,Super Built-up Area,65000.0,1470,2,2,4.1,28.3864052,77.0598046,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
2107,Mahagun Mywoods Phase 3,3 BHK Flat for rent in Sector 16C Greater Noida,Sector 16C Greater Noida,Super Built-up Area,19000.0,1225,3,2,3.8,28.4670734,77.5137649,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Noida
2108,Mahagun Mywoods Phase 1,4 BHK Serviced Apartment for rent in Greater Noida West,Greater Noida West,Carpet Area,30000.0,1810,4,2,4.1,28.5642539,77.4739447,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Noida
2111,"Sector 45, Gurgaon",3 BHK Independent Builder Floor for rent in Sector 45 Gurgaon,Sector 45 Gurgaon,Super Built-up Area,45000.0,2200,3,3,0.0,28.4449004,77.0663545,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
2112,Kanakia Zen World,"1 BHK Flat for rent in Kanjurmarg East, Mumbai","Kanjurmarg East, Mumbai",Super Built-up Area,39000.0,600,1,2,0.0,19.1378308,72.9361964,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Mumbai
2113,Pratik Gardens,"2 BHK Flat for rent in Sector 34 Kamothe, Navi Mumbai","Sector 34 Kamothe, Navi Mumbai",Built-up Area,29000.0,1155,2,2,0.0,19.0785451,72.878176,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Navi Mumbai
2114,Maxheights Dream Homes,"2 BHK Flat for rent in Kundli, Sonipat","Kundli, Sonipat",Super Built-up Area,7600.0,950,2,2,4.0,28.8696747,77.1198167,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Sonipat
2116,Maithri Shilpitha Splendour,"2 BHK Flat for rent in Mahadevpura, Bangalore East","Mahadevpura, Bangalore East",Carpet Area,50000.0,1250,2,2,3.5,12.99678075,77.692813,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Bangalore
2117,Saranya Sreshta,"3 BHK Flat for rent in Nallurhalli, Bangalore East","Nallurhalli, Bangalore East",Carpet Area,60000.0,1735,3,3,0.0,12.9766408,77.7248845,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Bangalore
2118,Swaraj Bella Vita,"2 BHK Flat for rent in Ghansoli, Navi Mumbai","Ghansoli, Navi Mumbai",Super Built-up Area,37000.0,988,2,2,0.0,19.1193307,72.9995096,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Navi Mumbai
