,Title,Location,Address,Area Type,Price,Total Sqft,Size,Bath,Rating,Latitude,Longitude,Availability,Images
2121,Nilgiri Gardens,"2 BHK Flat for rent in Belapur, Navi Mumbai","Belapur, Navi Mumbai",Super Built-up Area,"30,000 ",850,2,2,0,19.0088415,73.0287773,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2122,On Request,"2 BHK Flat for rent in Prabhadevi, Mumbai South","Prabhadevi, Mumbai South",Built-up Area,"90,000 ","1,250",2,2,0,2.7497556,11.4860732,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2123,Sobha HRC Pristine,"3 BHK Flat for rent in Jakkur, Bangalore North","Jakkur, Bangalore North",Super Built-up Area,"77,000 ","1,892",3,4,0,13.077697749999999,77.59765216294025,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2124,Preeti Mulberry Meadows,"4 BHK Flat for rent in Devanahalli, Bangalore North","Devanahalli, Bangalore North",Super Built-up Area,"80,000 ","4,000",4,4,0,8.7712794,13.7803627,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2125,Maithri Shilpitha Splendour,"3 BHK Flat for rent in Mahadevpura, Bangalore East","Mahadevpura, Bangalore East",Super Built-up Area,"50,000 ","1,460",3,3,3.5,12.99678075,77.692813,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2126,Marathon Nexzone,"2 BHK Flat for rent in New Panvel, Navi Mumbai","New Panvel, Navi Mumbai",Super Built-up Area,"16,000 ",890,2,2,3.6,18.9982037,73.1236641,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://imagecdn.99acres.com/media1/23609/3/472183300M-1707375328470.jpg', 'https://static.99acres.com/universalapp/img/errorIcon.png', 'https://imagecdn.99acres.com/media1/23550/5/471005988T-1706873489745.jpg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2127,Guru Ashish,"3 BHK Flat for rent in Chembur East, Mumbai","Chembur East, Mumbai",Carpet Area,1.1 Lac ,975,3,3,0,19.0730526,72.8699382,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://imagecdn.99acres.com/media1/23376/9/467529784M-1705392252450.jpg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2128,Urbtech Xaviers,2 BHK Flat for rent in Sector 168 Noida,Sector 168 Noida,Super Built-up Area,"20,000 ",959,2,2,3.6,28.4950417,77.409942,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2129,Urbtech Xaviers,2 BHK Flat for rent in Sector 168 Noida,Sector 168 Noida,Super Built-up Area,"22,000 ","1,200",2,3,3.6,28.4950417,77.409942,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2130,Sky City by Oberoi Realty,"4 BHK Flat for rent in Borivali East, Mumbai","Borivali East, Mumbai",Carpet Area,1.3 Lac ,"1,500",4,4,0,19.2267228,72.8619328,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2131,"Gulmohar park, South Delhi","3 BHK Independent Builder Floor for rent in Gulmohar park, South Delhi","Gulmohar park, South Delhi",Carpet Area,1.5 Lac ,"2,700",3,3,0,28.5571011,77.2130055,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
2132,Awho Ranjit Vihar 2,"2 BHK Flat for rent in Sector 23 Dwarka, Dwarka Delhi","Sector 23 Dwarka, Dwarka Delhi",Carpet Area,"31,000 ",900,2,2,0,28.5619923,77.0491008,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBg.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2133,RWA Block E,"3 BHK Independent Builder Floor for rent in Malviya Nagar, South Delhi","Malviya Nagar, South Delhi",Super Built-up Area,"55,000 ","1,350",3,2,0,28.5339201,77.2124474,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBg.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2134,"Malviya Nagar, South Delhi","3 BHK Independent Builder Floor for rent in Malviya Nagar, South Delhi","Malviya Nagar, South Delhi",Super Built-up Area,"45,500 ","1,160",3,3,0,28.5339201,77.2124474,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBg.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2135,M Block RWA,"3 BHK Independent Builder Floor for rent in Saket, South Delhi","Saket, South Delhi",Super Built-up Area,"65,000 ","1,950",3,3,4.0,28.5244107,77.2137253,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBg.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2136,"Geetanjali Enclave, South Delhi","2 BHK Independent Builder Floor for rent in Geetanjali Enclave, South Delhi","Geetanjali Enclave, South Delhi",Super Built-up Area,"51,800 ","1,500",2,2,0,28.5303586,77.2020662,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBg.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2137,"Malviya Nagar, South Delhi","2 BHK Independent Builder Floor for rent in Malviya Nagar, South Delhi","Malviya Nagar, South Delhi",Super Built-up Area,"35,500 ",980,2,2,0,28.5339201,77.2124474,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/noImageBg.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
